ID,item_nr,attitude,importance,side,plausibility,university,university_short,start_date,end_date,progress,duration,language,consent,student,tuition_fee,study_continue,attention1,attention2,gender,age,comments,study,study_year,study_plan,tuition_fee2,missing_attitude,track,native_language,item,item_short
bu-4,5,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-4,6,7,5,indifferent,likely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-4,7,2,9,indifferent,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-4,8,1,9,against,likely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-4,9,1,6,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-4,10,5,9,indifferent,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-4,11,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-4,12,1,9,indifferent,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-4,13,1,7,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-4,14,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
bu-4,15,1,9,against,unlikely,Baskent University,bu,2020-05-22T00:33:41Z,2020-05-22T00:42:30Z,100,529,EN,1,yes,3,yes,mostly,mostly not,male,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule more classes in the evening (after 6 PM),classes in the evening
bu-5,1,1,9,in favor,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-5,2,1,1,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-5,3,1,9,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-5,4,1,9,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
bu-5,5,5,4,indifferent,likely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-5,6,6,6,indifferent,likely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-5,7,1,9,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-5,8,1,4,indifferent,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-5,9,1,4,indifferent,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-5,10,1,6,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-5,11,1,4,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-5,12,1,7,in favor,likely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-5,13,5,5,in favor,likely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-5,14,1,6,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
bu-5,15,2,6,against,unlikely,Baskent University,bu,2020-05-24T22:11:56Z,2020-05-24T22:20:11Z,100,495,EN,1,yes,8,yes,mostly,mostly not,female,20,NA,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule more classes in the evening (after 6 PM),classes in the evening
bu-6,1,1,9,against,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the length of academic holidays,reduce holidays length
bu-6,2,5,5,indifferent,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the number of course hours required for graduation,increase course hours
bu-6,3,1,9,against,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should raise the tuition fee for the upcoming academic year,raise tuition fee
bu-6,4,1,9,against,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should schedule classes starting at 6.30am,classes at 6.30am
bu-6,5,1,9,against,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should introduce mandatory final exams that cover all knowledge required for the academic degree,introduce final exam
bu-6,6,9,5,indifferent,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should make attendance mandatory for seminars and lectures,mandatory attendance
bu-6,7,NA,NA,NA,NA,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish resit exams,abolish resit exams
bu-6,8,1,9,against,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should increase the difficulty of exams and coursework,increase difficulty
bu-6,9,2,7,against,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,"<The university> should banish sales of sodas and fast-food, including vending machines, on the campus",banish soda and fast-food
bu-6,10,1,8,against,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should reduce the voice given to students in its decision making,reduce student voice
bu-6,11,1,9,against,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should adopt school uniforms,adopt school uniforms
bu-6,12,3,6,indifferent,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should only fund scholarly pursuits and defund other student union activities,defund student activities
bu-6,13,9,6,in favor,unlikely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should abolish student political expression on the campus,abolish political expression
bu-6,14,3,7,indifferent,likely,Baskent University,bu,2020-05-26T23:06:04Z,2020-05-26T23:45:22Z,100,2357,EN,1,yes,8,yes,a great deal,mostly not,male,20,Okulumdan her şeyi bekliyorum ve korkuyorum bu araştırmanın rektörlük tarafından dikkate alınması gereken bir araştırma olduğunu düşünüyorum... sevgiler saygılar 21996760,NA,NA,NA,NA,NA,NA,NA,<The university> should also schedule classes on Saturday,classes on Saturday
